Date,Close/Last,Volume,Open,High,Low,Brand
6/22/22,$1.50 ,10232,$1.47 ,$1.50 ,$1.43 ,FORD
6/21/22,$1.49 ,28464,$1.44 ,$1.49 ,$1.40 ,FORD
6/17/22,$1.48 ,18759,$1.46 ,$1.49 ,$1.40 ,FORD
6/16/22,$1.44 ,39024,$1.45 ,$1.52 ,$1.39 ,FORD
6/15/22,$1.48 ,16872,$1.54 ,$1.54 ,$1.45 ,FORD
6/14/22,$1.51 ,29636,$1.43 ,$1.62 ,$1.43 ,FORD
6/13/22,$1.46 ,33464,$1.44 ,$1.57 ,$1.43 ,FORD
6/10/22,$1.62 ,44266,$1.69 ,$1.69 ,$1.55 ,FORD
6/9/22,$1.59 ,16305,$1.65 ,$1.70 ,$1.57 ,FORD
6/8/22,$1.57 ,10113,$1.62 ,$1.62 ,$1.55 ,FORD
6/7/22,$1.62 ,43132,$1.61 ,$1.70 ,$1.59 ,FORD
6/6/22,$1.60 ,24041,$1.59 ,$1.64 ,$1.55 ,FORD
6/3/22,$1.48 ,16324,$1.40 ,$1.49 ,$1.40 ,FORD
6/2/22,$1.43 ,23827,$1.37 ,$1.46 ,$1.37 ,FORD
6/1/22,$1.40 ,7846,$1.40 ,$1.42 ,$1.40 ,FORD
5/31/22,$1.43 ,30804,$1.44 ,$1.48 ,$1.40 ,FORD
5/27/22,$1.46 ,22160,$1.47 ,$1.53 ,$1.41 ,FORD
5/26/22,$1.48 ,17983,$1.45 ,$1.51 ,$1.45 ,FORD
5/25/22,$1.51 ,8654,$1.47 ,$1.53 ,$1.47 ,FORD
5/24/22,$1.50 ,25677,$1.58 ,$1.60 ,$1.45 ,FORD
5/23/22,$1.60 ,45902,$1.54 ,$1.61 ,$1.54 ,FORD
5/20/22,$1.47 ,22295,$1.55 ,$1.62 ,$1.45 ,FORD
5/19/22,$1.50 ,18543,$1.44 ,$1.50 ,$1.43 ,FORD
5/18/22,$1.34 ,24259,$1.39 ,$1.39 ,$1.30 ,FORD
5/17/22,$1.45 ,27899,$1.51 ,$1.51 ,$1.40 ,FORD
5/16/22,$1.39 ,67948,$1.11 ,$1.42 ,$1.06 ,FORD
5/13/22,$1.45 ,43388,$1.42 ,$1.48 ,$1.41 ,FORD
5/12/22,$1.45 ,27311,$1.45 ,$1.50 ,$1.41 ,FORD
5/11/22,$1.45 ,26982,$1.44 ,$1.49 ,$1.42 ,FORD
5/10/22,$1.47 ,27367,$1.51 ,$1.51 ,$1.43 ,FORD
5/9/22,$1.53 ,25822,$1.63 ,$1.64 ,$1.50 ,FORD
5/6/22,$1.63 ,29829,$1.61 ,$1.70 ,$1.59 ,FORD
5/5/22,$1.63 ,31008,$1.57 ,$1.63 ,$1.57 ,FORD
5/4/22,$1.60 ,28915,$1.58 ,$1.61 ,$1.52 ,FORD
5/3/22,$1.58 ,16517,$1.59 ,$1.59 ,$1.56 ,FORD
5/2/22,$1.60 ,40867,$1.52 ,$1.64 ,$1.52 ,FORD
4/29/22,$1.63 ,13933,$1.64 ,$1.64 ,$1.58 ,FORD
4/28/22,$1.62 ,27831,$1.62 ,$1.62 ,$1.50 ,FORD
4/27/22,$1.58 ,30806,$1.62 ,$1.62 ,$1.50 ,FORD
4/26/22,$1.60 ,34055,$1.60 ,$1.63 ,$1.60 ,FORD
4/25/22,$1.58 ,53181,$1.61 ,$1.65 ,$1.50 ,FORD
4/22/22,$1.70 ,25897,$1.77 ,$1.77 ,$1.65 ,FORD
4/21/22,$1.77 ,21442,$1.70 ,$1.80 ,$1.70 ,FORD
4/20/22,$1.81 ,28445,$1.79 ,$1.87 ,$1.75 ,FORD
4/19/22,$1.78 ,23534,$1.77 ,$1.81 ,$1.75 ,FORD
4/18/22,$1.75 ,17739,$1.76 ,$1.77 ,$1.71 ,FORD
4/14/22,$1.73 ,20756,$1.76 ,$1.78 ,$1.72 ,FORD
4/13/22,$1.76 ,37347,$1.67 ,$1.76 ,$1.66 ,FORD
4/12/22,$1.68 ,67996,$1.71 ,$1.73 ,$1.65 ,FORD
4/11/22,$1.68 ,72317,$1.87 ,$1.88 ,$1.68 ,FORD
4/8/22,$1.92 ,44259,$1.92 ,$1.93 ,$1.89 ,FORD
4/7/22,$1.91 ,79736,$1.93 ,$1.94 ,$1.89 ,FORD
4/6/22,$1.87 ,65009,$1.83 ,$1.89 ,$1.82 ,FORD
4/5/22,$1.83 ,31749,$1.84 ,$1.84 ,$1.74 ,FORD
4/4/22,$1.83 ,57420,$1.77 ,$1.83 ,$1.76 ,FORD
4/1/22,$1.76 ,50967,$1.75 ,$1.80 ,$1.72 ,FORD
3/31/22,$1.72 ,30813,$1.75 ,$1.75 ,$1.66 ,FORD
3/30/22,$1.75 ,34778,$1.72 ,$1.76 ,$1.68 ,FORD
3/29/22,$1.68 ,83496,$1.69 ,$1.80 ,$1.63 ,FORD
3/28/22,$1.66 ,27352,$1.62 ,$1.68 ,$1.61 ,FORD
3/25/22,$1.66 ,32647,$1.65 ,$1.67 ,$1.58 ,FORD
3/24/22,$1.65 ,30318,$1.62 ,$1.65 ,$1.60 ,FORD
3/23/22,$1.61 ,50940,$1.58 ,$1.62 ,$1.55 ,FORD
3/22/22,$1.56 ,28555,$1.56 ,$1.57 ,$1.51 ,FORD
3/21/22,$1.53 ,38060,$1.61 ,$1.61 ,$1.52 ,FORD
3/18/22,$1.60 ,39242,$1.56 ,$1.61 ,$1.56 ,FORD
3/17/22,$1.55 ,26520,$1.52 ,$1.57 ,$1.52 ,FORD
3/16/22,$1.52 ,27265,$1.51 ,$1.55 ,$1.51 ,FORD
3/15/22,$1.52 ,24726,$1.55 ,$1.55 ,$1.46 ,FORD
3/14/22,$1.45 ,112556,$1.59 ,$1.60 ,$1.44 ,FORD
3/11/22,$1.60 ,17246,$1.65 ,$1.65 ,$1.60 ,FORD
3/10/22,$1.64 ,23455,$1.55 ,$1.64 ,$1.55 ,FORD
3/9/22,$1.55 ,64171,$1.59 ,$1.65 ,$1.55 ,FORD
3/8/22,$1.59 ,46192,$1.57 ,$1.60 ,$1.51 ,FORD
3/7/22,$1.55 ,70488,$1.65 ,$1.71 ,$1.50 ,FORD
3/4/22,$1.57 ,38956,$1.55 ,$1.62 ,$1.55 ,FORD
3/3/22,$1.60 ,57278,$1.68 ,$1.70 ,$1.59 ,FORD
3/2/22,$1.63 ,36548,$1.59 ,$1.64 ,$1.55 ,FORD
3/1/22,$1.54 ,30293,$1.59 ,$1.65 ,$1.54 ,FORD
2/28/22,$1.57 ,35697,$1.58 ,$1.63 ,$1.54 ,FORD
2/25/22,$1.58 ,30659,$1.58 ,$1.61 ,$1.57 ,FORD
2/24/22,$1.58 ,61794,$1.50 ,$1.64 ,$1.50 ,FORD
2/23/22,$1.60 ,29662,$1.67 ,$1.67 ,$1.60 ,FORD
2/22/22,$1.67 ,30846,$1.68 ,$1.74 ,$1.67 ,FORD
2/18/22,$1.71 ,28056,$1.69 ,$1.74 ,$1.65 ,FORD
2/17/22,$1.70 ,33837,$1.69 ,$1.74 ,$1.67 ,FORD
2/16/22,$1.74 ,29798,$1.69 ,$1.74 ,$1.68 ,FORD
2/15/22,$1.68 ,82992,$1.62 ,$1.70 ,$1.59 ,FORD
2/14/22,$1.63 ,53122,$1.63 ,$1.64 ,$1.57 ,FORD
2/11/22,$1.57 ,44932,$1.65 ,$1.65 ,$1.56 ,FORD
2/10/22,$1.60 ,70463,$1.58 ,$1.65 ,$1.56 ,FORD
2/9/22,$1.59 ,90491,$1.57 ,$1.66 ,$1.57 ,FORD
2/8/22,$1.58 ,39527,$1.53 ,$1.60 ,$1.53 ,FORD
2/7/22,$1.57 ,35781,$1.54 ,$1.62 ,$1.54 ,FORD
2/4/22,$1.63 ,73900,$1.54 ,$1.64 ,$1.51 ,FORD
2/3/22,$1.53 ,42277,$1.52 ,$1.59 ,$1.52 ,FORD
2/2/22,$1.60 ,73535,$1.58 ,$1.64 ,$1.55 ,FORD
2/1/22,$1.59 ,28585,$1.52 ,$1.61 ,$1.52 ,FORD
1/31/22,$1.53 ,44443,$1.47 ,$1.53 ,$1.46 ,FORD
1/28/22,$1.46 ,44905,$1.56 ,$1.56 ,$1.43 ,FORD
1/27/22,$1.57 ,55459,$1.54 ,$1.65 ,$1.54 ,FORD
1/26/22,$1.56 ,58502,$1.49 ,$1.58 ,$1.49 ,FORD
1/25/22,$1.49 ,41159,$1.51 ,$1.51 ,$1.45 ,FORD
1/24/22,$1.51 ,91134,$1.45 ,$1.51 ,$1.40 ,FORD
1/21/22,$1.45 ,80689,$1.51 ,$1.55 ,$1.45 ,FORD
1/20/22,$1.53 ,45488,$1.56 ,$1.61 ,$1.53 ,FORD
1/19/22,$1.55 ,47926,$1.53 ,$1.58 ,$1.53 ,FORD
1/18/22,$1.53 ,64751,$1.60 ,$1.63 ,$1.53 ,FORD
1/14/22,$1.60 ,38583,$1.63 ,$1.63 ,$1.58 ,FORD
1/13/22,$1.64 ,68803,$1.69 ,$1.69 ,$1.62 ,FORD
1/12/22,$1.67 ,143270,$1.61 ,$1.70 ,$1.60 ,FORD
1/11/22,$1.57 ,48932,$1.57 ,$1.61 ,$1.55 ,FORD
1/10/22,$1.58 ,80060,$1.65 ,$1.69 ,$1.55 ,FORD
1/7/22,$1.63 ,118693,$1.75 ,$1.78 ,$1.61 ,FORD
1/6/22,$1.61 ,87512,$1.61 ,$1.65 ,$1.53 ,FORD
1/5/22,$1.58 ,187511,$1.75 ,$1.75 ,$1.56 ,FORD
